610.000000000000+0.00000000000000i	0.633668000000000+0.170480000000000i
620.000000000000+0.00000000000000i	0.635594000000000+0.169971000000000i
630.000000000000+0.00000000000000i	0.637483000000000+0.169465000000000i
640.000000000000+0.00000000000000i	0.639335000000000+0.168961000000000i
650.000000000000+0.00000000000000i	0.641151000000000+0.168460000000000i
660.000000000000+0.00000000000000i	0.642933000000000+0.167962000000000i
670.000000000000+0.00000000000000i	0.644682000000000+0.167468000000000i
680.000000000000+0.00000000000000i	0.646399000000000+0.166976000000000i
690.000000000000+0.00000000000000i	0.648085000000000+0.166487000000000i
700.000000000000+0.00000000000000i	0.649741000000000+0.166002000000000i
710.000000000000+0.00000000000000i	0.651367000000000+0.165519000000000i
720.000000000000+0.00000000000000i	0.652964000000000+0.165040000000000i
730.000000000000+0.00000000000000i	0.654534000000000+0.164563000000000i
740.000000000000+0.00000000000000i	0.656077000000000+0.164090000000000i
750.000000000000+0.00000000000000i	0.657594000000000+0.163620000000000i
760.000000000000+0.00000000000000i	0.659086000000000+0.163153000000000i
770.000000000000+0.00000000000000i	0.660553000000000+0.162689000000000i
780.000000000000+0.00000000000000i	0.661996000000000+0.162228000000000i
790.000000000000+0.00000000000000i	0.663415000000000+0.161770000000000i
800.000000000000+0.00000000000000i	0.664812000000000+0.161315000000000i
810.000000000000+0.00000000000000i	0.666186000000000+0.160863000000000i
820.000000000000+0.00000000000000i	0.667539000000000+0.160415000000000i
830.000000000000+0.00000000000000i	0.668871000000000+0.159969000000000i
840.000000000000+0.00000000000000i	0.670183000000000+0.159526000000000i
850.000000000000+0.00000000000000i	0.671474000000000+0.159087000000000i
860.000000000000+0.00000000000000i	0.672746000000000+0.158650000000000i
870.000000000000+0.00000000000000i	0.673999000000000+0.158216000000000i
880.000000000000+0.00000000000000i	0.675234000000000+0.157786000000000i
890.000000000000+0.00000000000000i	0.676450000000000+0.157358000000000i
900.000000000000+0.00000000000000i	0.677649000000000+0.156933000000000i
910.000000000000+0.00000000000000i	0.678830000000000+0.156511000000000i
