f [Hz]  Z [Ohm] 
 (4.80000e+02+0.00000e+00j)  (5.79167e-01+1.81034e-01j)
 (4.90000e+02+0.00000e+00j)  (5.81803e-01+1.80584e-01j)
 (5.00000e+02+0.00000e+00j)  (5.84377e-01+1.80132e-01j)
 (5.10000e+02+0.00000e+00j)  (5.86894e-01+1.79679e-01j)
 (5.20000e+02+0.00000e+00j)  (5.89353e-01+1.79225e-01j)
 (5.30000e+02+0.00000e+00j)  (5.91759e-01+1.78770e-01j)
 (5.40000e+02+0.00000e+00j)  (5.94113e-01+1.78314e-01j)
 (5.50000e+02+0.00000e+00j)  (5.96416e-01+1.77858e-01j)
 (5.60000e+02+0.00000e+00j)  (5.98671e-01+1.77403e-01j)
 (5.70000e+02+0.00000e+00j)  (6.00879e-01+1.76947e-01j)
 (5.80000e+02+0.00000e+00j)  (6.03042e-01+1.76492e-01j)
 (5.90000e+02+0.00000e+00j)  (6.05161e-01+1.76037e-01j)
 (6.00000e+02+0.00000e+00j)  (6.07239e-01+1.75584e-01j)
 (6.10000e+02+0.00000e+00j)  (6.09275e-01+1.75130e-01j)
 (6.20000e+02+0.00000e+00j)  (6.11272e-01+1.74678e-01j)
 (6.30000e+02+0.00000e+00j)  (6.13231e-01+1.74228e-01j)
 (6.40000e+02+0.00000e+00j)  (6.15154e-01+1.73778e-01j)
 (6.50000e+02+0.00000e+00j)  (6.17040e-01+1.73329e-01j)
 (6.60000e+02+0.00000e+00j)  (6.18892e-01+1.72883e-01j)
 (6.70000e+02+0.00000e+00j)  (6.20710e-01+1.72437e-01j)
 (6.80000e+02+0.00000e+00j)  (6.22496e-01+1.71993e-01j)
 (6.90000e+02+0.00000e+00j)  (6.24250e-01+1.71551e-01j)
 (7.00000e+02+0.00000e+00j)  (6.25973e-01+1.71111e-01j)
 (7.10000e+02+0.00000e+00j)  (6.27667e-01+1.70672e-01j)
 (7.20000e+02+0.00000e+00j)  (6.29332e-01+1.70235e-01j)
 (7.30000e+02+0.00000e+00j)  (6.30968e-01+1.69800e-01j)
