f [Hz]  Z [Ohm] 
13.0000000000000+0.00000000000000i	0.169884000000000+0.114822000000000i
14.0000000000000+0.00000000000000i	0.175264000000000+0.117421000000000i
15.0000000000000+0.00000000000000i	0.180400000000000+0.119857000000000i
16.0000000000000+0.00000000000000i	0.185318000000000+0.122147000000000i
17.0000000000000+0.00000000000000i	0.190037000000000+0.124308000000000i
18.0000000000000+0.00000000000000i	0.194577000000000+0.126352000000000i
19.0000000000000+0.00000000000000i	0.198953000000000+0.128289000000000i
20.0000000000000+0.00000000000000i	0.203177000000000+0.130130000000000i
21.0000000000000+0.00000000000000i	0.207263000000000+0.131882000000000i
22.0000000000000+0.00000000000000i	0.211220000000000+0.133553000000000i
23.0000000000000+0.00000000000000i	0.215057000000000+0.135149000000000i
24.0000000000000+0.00000000000000i	0.218782000000000+0.136676000000000i
25.0000000000000+0.00000000000000i	0.222403000000000+0.138139000000000i
26.0000000000000+0.00000000000000i	0.225926000000000+0.139541000000000i
27.0000000000000+0.00000000000000i	0.229357000000000+0.140888000000000i
28.0000000000000+0.00000000000000i	0.232701000000000+0.142182000000000i
29.0000000000000+0.00000000000000i	0.235964000000000+0.143427000000000i
30.0000000000000+0.00000000000000i	0.239149000000000+0.144627000000000i
31.0000000000000+0.00000000000000i	0.242261000000000+0.145782000000000i
32.0000000000000+0.00000000000000i	0.245303000000000+0.146897000000000i
33.0000000000000+0.00000000000000i	0.248278000000000+0.147974000000000i
34.0000000000000+0.00000000000000i	0.251191000000000+0.149013000000000i
35.0000000000000+0.00000000000000i	0.254043000000000+0.150019000000000i
36.0000000000000+0.00000000000000i	0.256838000000000+0.150991000000000i
37.0000000000000+0.00000000000000i	0.259578000000000+0.151932000000000i
38.0000000000000+0.00000000000000i	0.262265000000000+0.152843000000000i
39.0000000000000+0.00000000000000i	0.264901000000000+0.153727000000000i
40.0000000000000+0.00000000000000i	0.267489000000000+0.154583000000000i
41.0000000000000+0.00000000000000i	0.270031000000000+0.155413000000000i
42.0000000000000+0.00000000000000i	0.272528000000000+0.156219000000000i
43.0000000000000+0.00000000000000i	0.274981000000000+0.157002000000000i
44.0000000000000+0.00000000000000i	0.277393000000000+0.157762000000000i
45.0000000000000+0.00000000000000i	0.279766000000000+0.158500000000000i
46.0000000000000+0.00000000000000i	0.282099000000000+0.159218000000000i
47.0000000000000+0.00000000000000i	0.284395000000000+0.159916000000000i
48.0000000000000+0.00000000000000i	0.286656000000000+0.160594000000000i
49.0000000000000+0.00000000000000i	0.288881000000000+0.161255000000000i
50.0000000000000+0.00000000000000i	0.291073000000000+0.161898000000000i
51.0000000000000+0.00000000000000i	0.293232000000000+0.162524000000000i
52.0000000000000+0.00000000000000i	0.295359000000000+0.163133000000000i
53.0000000000000+0.00000000000000i	0.297456000000000+0.163727000000000i
54.0000000000000+0.00000000000000i	0.299523000000000+0.164306000000000i
55.0000000000000+0.00000000000000i	0.301561000000000+0.164870000000000i
56.0000000000000+0.00000000000000i	0.303571000000000+0.165420000000000i
57.0000000000000+0.00000000000000i	0.305554000000000+0.165957000000000i
58.0000000000000+0.00000000000000i	0.307511000000000+0.166480000000000i
59.0000000000000+0.00000000000000i	0.309441000000000+0.166990000000000i
60.0000000000000+0.00000000000000i	0.311347000000000+0.167488000000000i
61.0000000000000+0.00000000000000i	0.313228000000000+0.167975000000000i
62.0000000000000+0.00000000000000i	0.315086000000000+0.168449000000000i
63.0000000000000+0.00000000000000i	0.316920000000000+0.168913000000000i
64.0000000000000+0.00000000000000i	0.318732000000000+0.169366000000000i
65.0000000000000+0.00000000000000i	0.320522000000000+0.169808000000000i
66.0000000000000+0.00000000000000i	0.322291000000000+0.170240000000000i
67.0000000000000+0.00000000000000i	0.324039000000000+0.170662000000000i
68.0000000000000+0.00000000000000i	0.325766000000000+0.171074000000000i
69.0000000000000+0.00000000000000i	0.327473000000000+0.171478000000000i
70.0000000000000+0.00000000000000i	0.329161000000000+0.171872000000000i
71.0000000000000+0.00000000000000i	0.330830000000000+0.172257000000000i
72.0000000000000+0.00000000000000i	0.332480000000000+0.172634000000000i
73.0000000000000+0.00000000000000i	0.334113000000000+0.173003000000000i
74.0000000000000+0.00000000000000i	0.335727000000000+0.173363000000000i
75.0000000000000+0.00000000000000i	0.337324000000000+0.173716000000000i
76.0000000000000+0.00000000000000i	0.338904000000000+0.174061000000000i
77.0000000000000+0.00000000000000i	0.340468000000000+0.174398000000000i
78.0000000000000+0.00000000000000i	0.342015000000000+0.174729000000000i
79.0000000000000+0.00000000000000i	0.343546000000000+0.175052000000000i
80.0000000000000+0.00000000000000i	0.345062000000000+0.175368000000000i
81.0000000000000+0.00000000000000i	0.346562000000000+0.175678000000000i
82.0000000000000+0.00000000000000i	0.348047000000000+0.175981000000000i
83.0000000000000+0.00000000000000i	0.349518000000000+0.176278000000000i
84.0000000000000+0.00000000000000i	0.350974000000000+0.176569000000000i
85.0000000000000+0.00000000000000i	0.352416000000000+0.176854000000000i
86.0000000000000+0.00000000000000i	0.353845000000000+0.177132000000000i
87.0000000000000+0.00000000000000i	0.355259000000000+0.177405000000000i
88.0000000000000+0.00000000000000i	0.356661000000000+0.177673000000000i
89.0000000000000+0.00000000000000i	0.358049000000000+0.177935000000000i
